timestamp,price_eur_per_mwh,price_eur_per_kwh
2022-12-31 23:00:00+00:00,-3.61,-0.00361
2023-01-01 00:00:00+00:00,-1.46,-0.00146
2023-01-01 01:00:00+00:00,-1.52,-0.00152
2023-01-01 02:00:00+00:00,-5.0,-0.005
2023-01-01 03:00:00+00:00,-4.6,-0.0046
2023-01-01 04:00:00+00:00,-4.05,-0.00405
2023-01-01 05:00:00+00:00,-3.6,-0.0036
2023-01-01 06:00:00+00:00,0.0,0.0
2023-01-01 07:00:00+00:00,0.0,0.0
2023-01-01 08:00:00+00:00,0.0,0.0
2023-01-01 09:00:00+00:00,0.99,0.00099
2023-01-01 10:00:00+00:00,0.58,0.00058
2023-01-01 11:00:00+00:00,0.04,4e-05
2023-01-01 12:00:00+00:00,0.0,0.0
2023-01-01 13:00:00+00:00,0.85,0.00085
2023-01-01 14:00:00+00:00,23.53,0.02353
2023-01-01 15:00:00+00:00,36.54,0.0365399999999999
2023-01-01 16:00:00+00:00,46.03,0.04603
2023-01-01 17:00:00+00:00,99.9,0.0999
2023-01-01 18:00:00+00:00,54.95,0.05495
2023-01-01 19:00:00+00:00,62.0,0.062
2023-01-01 20:00:00+00:00,52.93,0.05293
2023-01-01 21:00:00+00:00,45.96,0.04596
2023-01-01 22:00:00+00:00,35.0,0.035
2023-01-01 23:00:00+00:00,109.9,0.1099
2023-01-02 00:00:00+00:00,94.9,0.0949
2023-01-02 01:00:00+00:00,52.93,0.05293
2023-01-02 02:00:00+00:00,44.16,0.04416
2023-01-02 03:00:00+00:00,50.08,0.05008
2023-01-02 04:00:00+00:00,77.09,0.07709
2023-01-02 05:00:00+00:00,105.08,0.1050799999999999
2023-01-02 06:00:00+00:00,140.64,0.14064
2023-01-02 07:00:00+00:00,162.44,0.16244
2023-01-02 08:00:00+00:00,180.0,0.18
2023-01-02 09:00:00+00:00,145.61,0.14561
2023-01-02 10:00:00+00:00,143.35,0.14335
2023-01-02 11:00:00+00:00,144.38,0.14438
2023-01-02 12:00:00+00:00,143.76,0.14376
2023-01-02 13:00:00+00:00,148.2,0.1482
2023-01-02 14:00:00+00:00,155.34,0.15534
2023-01-02 15:00:00+00:00,164.0,0.164
2023-01-02 16:00:00+00:00,185.68,0.18568
2023-01-02 17:00:00+00:00,174.74,0.17474
2023-01-02 18:00:00+00:00,169.9,0.1699
2023-01-02 19:00:00+00:00,153.0,0.153
2023-01-02 20:00:00+00:00,141.67,0.14167
2023-01-02 21:00:00+00:00,134.91,0.13491
2023-01-02 22:00:00+00:00,124.22,0.12422
2023-01-02 23:00:00+00:00,130.01,0.13001
2023-01-03 00:00:00+00:00,120.0,0.12
2023-01-03 01:00:00+00:00,118.76,0.11876
2023-01-03 02:00:00+00:00,115.0,0.115
2023-01-03 03:00:00+00:00,113.63,0.11363
2023-01-03 04:00:00+00:00,116.27,0.11627
2023-01-03 05:00:00+00:00,138.92,0.13892
2023-01-03 06:00:00+00:00,159.92,0.1599199999999999
2023-01-03 07:00:00+00:00,169.17,0.16917
2023-01-03 08:00:00+00:00,171.18,0.17118
2023-01-03 09:00:00+00:00,168.57,0.16857
2023-01-03 10:00:00+00:00,169.49,0.16949
2023-01-03 11:00:00+00:00,164.5,0.1645
2023-01-03 12:00:00+00:00,160.91,0.16091
2023-01-03 13:00:00+00:00,163.06,0.16306
2023-01-03 14:00:00+00:00,166.79,0.16679
2023-01-03 15:00:00+00:00,166.57,0.16657
2023-01-03 16:00:00+00:00,170.82,0.17082
2023-01-03 17:00:00+00:00,168.95,0.16895
2023-01-03 18:00:00+00:00,160.99,0.16099
2023-01-03 19:00:00+00:00,149.62,0.14962
2023-01-03 20:00:00+00:00,130.63,0.13063
2023-01-03 21:00:00+00:00,114.42,0.11442
2023-01-03 22:00:00+00:00,92.48,0.09248
2023-01-03 23:00:00+00:00,80.07,0.0800699999999999
2023-01-04 00:00:00+00:00,68.44,0.06844
2023-01-04 01:00:00+00:00,37.92,0.03792
2023-01-04 02:00:00+00:00,0.0,0.0
2023-01-04 03:00:00+00:00,0.0,0.0
2023-01-04 04:00:00+00:00,6.33,0.00633
2023-01-04 05:00:00+00:00,54.9,0.0549
2023-01-04 06:00:00+00:00,85.32,0.08532
2023-01-04 07:00:00+00:00,150.0,0.15
2023-01-04 08:00:00+00:00,146.0,0.146
2023-01-04 09:00:00+00:00,131.19,0.13119
2023-01-04 10:00:00+00:00,130.53,0.13053
2023-01-04 11:00:00+00:00,127.87,0.12787
2023-01-04 12:00:00+00:00,119.08,0.1190799999999999
2023-01-04 13:00:00+00:00,116.55,0.11655
2023-01-04 14:00:00+00:00,127.99,0.12799
2023-01-04 15:00:00+00:00,131.25,0.13125
2023-01-04 16:00:00+00:00,150.2,0.1502
2023-01-04 17:00:00+00:00,137.5,0.1375
2023-01-04 18:00:00+00:00,129.49,0.12949
2023-01-04 19:00:00+00:00,122.4,0.1224
2023-01-04 20:00:00+00:00,129.39,0.1293899999999999
2023-01-04 21:00:00+00:00,108.96,0.1089599999999999
2023-01-04 22:00:00+00:00,106.0,0.106
2023-01-04 23:00:00+00:00,5.4,0.0054
2023-01-05 00:00:00+00:00,3.63,0.00363
2023-01-05 01:00:00+00:00,4.9,0.0049
2023-01-05 02:00:00+00:00,0.0,0.0
2023-01-05 03:00:00+00:00,6.87,0.00687
2023-01-05 04:00:00+00:00,16.32,0.01632
2023-01-05 05:00:00+00:00,67.8,0.0678
2023-01-05 06:00:00+00:00,119.9,0.1199
2023-01-05 07:00:00+00:00,179.0,0.179
2023-01-05 08:00:00+00:00,171.04,0.17104
2023-01-05 09:00:00+00:00,169.47,0.16947
2023-01-05 10:00:00+00:00,154.0,0.154
2023-01-05 11:00:00+00:00,146.0,0.146
2023-01-05 12:00:00+00:00,145.1,0.1451
2023-01-05 13:00:00+00:00,151.03,0.15103
2023-01-05 14:00:00+00:00,159.48,0.1594799999999999
2023-01-05 15:00:00+00:00,172.73,0.17273
2023-01-05 16:00:00+00:00,222.1,0.2221
2023-01-05 17:00:00+00:00,194.67,0.1946699999999999
2023-01-05 18:00:00+00:00,177.98,0.17798
2023-01-05 19:00:00+00:00,163.99,0.16399
2023-01-05 20:00:00+00:00,152.0,0.152
2023-01-05 21:00:00+00:00,144.64,0.14464
2023-01-05 22:00:00+00:00,127.0,0.127
2023-01-05 23:00:00+00:00,107.21,0.10721
2023-01-06 00:00:00+00:00,101.1,0.1011
2023-01-06 01:00:00+00:00,96.73,0.09673
2023-01-06 02:00:00+00:00,81.42,0.08142
2023-01-06 03:00:00+00:00,74.45,0.07445
2023-01-06 04:00:00+00:00,78.32,0.0783199999999999
2023-01-06 05:00:00+00:00,96.89,0.09689
2023-01-06 06:00:00+00:00,107.02,0.1070199999999999
2023-01-06 07:00:00+00:00,122.94,0.12294
2023-01-06 08:00:00+00:00,166.4,0.1664
2023-01-06 09:00:00+00:00,182.4,0.1824
2023-01-06 10:00:00+00:00,163.67,0.1636699999999999
2023-01-06 11:00:00+00:00,140.2,0.1402
2023-01-06 12:00:00+00:00,135.0,0.135
2023-01-06 13:00:00+00:00,158.0,0.158
2023-01-06 14:00:00+00:00,170.4,0.1704
2023-01-06 15:00:00+00:00,140.1,0.1401
2023-01-06 16:00:00+00:00,155.93,0.15593
2023-01-06 17:00:00+00:00,163.5,0.1635
2023-01-06 18:00:00+00:00,146.74,0.14674
2023-01-06 19:00:00+00:00,139.39,0.13939
2023-01-06 20:00:00+00:00,131.84,0.13184
2023-01-06 21:00:00+00:00,129.94,0.12994
2023-01-06 22:00:00+00:00,121.31,0.12131
2023-01-06 23:00:00+00:00,97.28,0.09728
2023-01-07 00:00:00+00:00,98.16,0.09816
2023-01-07 01:00:00+00:00,94.96,0.0949599999999999
2023-01-07 02:00:00+00:00,83.86,0.08386
2023-01-07 03:00:00+00:00,76.66,0.0766599999999999
2023-01-07 04:00:00+00:00,69.88,0.06988
2023-01-07 05:00:00+00:00,76.49,0.0764899999999999
2023-01-07 06:00:00+00:00,92.53,0.09253
2023-01-07 07:00:00+00:00,109.94,0.10994
2023-01-07 08:00:00+00:00,112.87,0.11287
2023-01-07 09:00:00+00:00,100.69,0.10069
2023-01-07 10:00:00+00:00,88.32,0.08832
2023-01-07 11:00:00+00:00,87.9,0.0879
2023-01-07 12:00:00+00:00,74.29,0.07429
2023-01-07 13:00:00+00:00,90.0,0.09
2023-01-07 14:00:00+00:00,86.9,0.0869
2023-01-07 15:00:00+00:00,94.31,0.09431
2023-01-07 16:00:00+00:00,98.32,0.0983199999999999
2023-01-07 17:00:00+00:00,100.96,0.10096
2023-01-07 18:00:00+00:00,96.0,0.096
2023-01-07 19:00:00+00:00,89.1,0.0891
2023-01-07 20:00:00+00:00,62.98,0.06298
2023-01-07 21:00:00+00:00,51.2,0.0512
2023-01-07 22:00:00+00:00,38.79,0.03879
2023-01-07 23:00:00+00:00,11.55,0.01155
2023-01-08 00:00:00+00:00,9.07,0.00907
2023-01-08 01:00:00+00:00,9.1,0.0091
2023-01-08 02:00:00+00:00,3.46,0.00346
2023-01-08 03:00:00+00:00,2.8,0.0028
2023-01-08 04:00:00+00:00,5.08,0.00508
2023-01-08 05:00:00+00:00,9.02,0.00902
2023-01-08 06:00:00+00:00,16.47,0.01647
2023-01-08 07:00:00+00:00,50.23,0.05023
2023-01-08 08:00:00+00:00,83.02,0.08302
2023-01-08 09:00:00+00:00,93.88,0.0938799999999999
2023-01-08 10:00:00+00:00,103.87,0.10387
2023-01-08 11:00:00+00:00,101.69,0.10169
2023-01-08 12:00:00+00:00,99.0,0.099
2023-01-08 13:00:00+00:00,104.29,0.10429
2023-01-08 14:00:00+00:00,103.33,0.10333
2023-01-08 15:00:00+00:00,108.43,0.10843
2023-01-08 16:00:00+00:00,118.72,0.1187199999999999
2023-01-08 17:00:00+00:00,122.76,0.12276
2023-01-08 18:00:00+00:00,109.44,0.10944
2023-01-08 19:00:00+00:00,104.41,0.10441
2023-01-08 20:00:00+00:00,98.65,0.09865
2023-01-08 21:00:00+00:00,99.38,0.09938
2023-01-08 22:00:00+00:00,81.34,0.08134
2023-01-08 23:00:00+00:00,75.13,0.07513
2023-01-09 00:00:00+00:00,64.38,0.0643799999999999
2023-01-09 01:00:00+00:00,60.28,0.06028
2023-01-09 02:00:00+00:00,39.41,0.0394099999999999
2023-01-09 03:00:00+00:00,43.12,0.04312
2023-01-09 04:00:00+00:00,69.07,0.0690699999999999
2023-01-09 05:00:00+00:00,107.13,0.1071299999999999
2023-01-09 06:00:00+00:00,160.0,0.16
2023-01-09 07:00:00+00:00,180.0,0.18
2023-01-09 08:00:00+00:00,177.16,0.1771599999999999
2023-01-09 09:00:00+00:00,159.13,0.15913
2023-01-09 10:00:00+00:00,160.78,0.16078
2023-01-09 11:00:00+00:00,141.0,0.141
2023-01-09 12:00:00+00:00,142.07,0.14207
2023-01-09 13:00:00+00:00,138.97,0.13897
2023-01-09 14:00:00+00:00,151.23,0.15123
2023-01-09 15:00:00+00:00,162.04,0.16204
2023-01-09 16:00:00+00:00,174.27,0.17427
2023-01-09 17:00:00+00:00,182.18,0.18218
2023-01-09 18:00:00+00:00,170.24,0.17024
2023-01-09 19:00:00+00:00,160.51,0.1605099999999999
2023-01-09 20:00:00+00:00,138.93,0.13893
2023-01-09 21:00:00+00:00,132.0,0.132
2023-01-09 22:00:00+00:00,108.31,0.10831
2023-01-09 23:00:00+00:00,106.01,0.10601
2023-01-10 00:00:00+00:00,96.72,0.09672
2023-01-10 01:00:00+00:00,95.15,0.09515
2023-01-10 02:00:00+00:00,90.33,0.09033
2023-01-10 03:00:00+00:00,95.61,0.09561
2023-01-10 04:00:00+00:00,108.6,0.1085999999999999
2023-01-10 05:00:00+00:00,138.13,0.13813
2023-01-10 06:00:00+00:00,156.0,0.156
2023-01-10 07:00:00+00:00,220.0,0.22
2023-01-10 08:00:00+00:00,222.0,0.222
2023-01-10 09:00:00+00:00,163.52,0.16352
2023-01-10 10:00:00+00:00,147.6,0.1475999999999999
2023-01-10 11:00:00+00:00,141.25,0.14125
2023-01-10 12:00:00+00:00,141.68,0.14168
2023-01-10 13:00:00+00:00,145.41,0.1454099999999999
2023-01-10 14:00:00+00:00,145.92,0.14592
2023-01-10 15:00:00+00:00,140.11,0.14011
2023-01-10 16:00:00+00:00,147.9,0.1479
2023-01-10 17:00:00+00:00,144.74,0.14474
2023-01-10 18:00:00+00:00,130.1,0.1301
2023-01-10 19:00:00+00:00,122.81,0.12281
2023-01-10 20:00:00+00:00,101.9,0.1019
2023-01-10 21:00:00+00:00,82.0,0.082
