,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38
2024-03-12 00:00:00+01:00,47.93396,54.728252,58.361526,81.34414,83.7549,85.97624,66.7116,49.34587,54.761047,52.759636,49.210762,51.9484,52.323395,39.736717,58.538322,66.57286,72.62328,91.52433,90.34907,78.11313,71.39067,49.23926,45.745716,36.675213,49.966904
2024-03-12 00:15:00+01:00,-45.627373,-43.253143,-10.643637,-30.086725,61.649178,138.09428,152.22823,161.92078,187.9485,180.19751,191.1619,165.78464,81.3612,58.602837,58.62009,57.218513,61.143818,91.43018,110.284195,95.53168,111.04279,85.96958,72.20841,28.751194,20.176275
2024-03-12 00:30:00+01:00,-45.627373,-43.253143,-10.643637,-30.634642,59.84542,138.09428,152.22823,161.92078,187.9485,180.19751,191.1619,165.78464,81.3612,58.602837,58.62009,57.218513,61.286633,91.43018,110.284195,95.93019,111.04279,85.96958,72.20841,28.751194,20.176275
2024-03-12 00:45:00+01:00,-45.356995,-43.253143,-14.879538,-29.907454,59.84542,141.2918,149.91599,161.92078,187.9485,180.19751,189.45602,165.78464,81.249306,58.554398,58.826614,57.468636,62.18761,91.43018,110.284195,95.93019,112.39675,85.96958,72.20841,30.50584,20.176275
2024-03-12 01:00:00+01:00,-46.37005,-26.54786,-3.3885953,6.890244,67.76627,139.27545,141.5763,161.92078,188.17896,179.3902,189.45602,165.78464,81.249306,58.5323,61.124138,64.09873,80.05726,94.90345,102.60108,88.43914,110.038216,75.85981,72.27144,33.975086,26.436764
2024-03-12 01:15:00+01:00,-47.669395,-26.54786,-5.7285733,7.843183,71.49741,139.27545,141.5763,161.92078,188.17896,179.3902,191.57932,165.78464,81.01632,58.5323,61.124138,64.09873,80.05726,94.117714,102.60108,87.39437,108.85702,75.85981,70.01304,33.975086,26.436764
2024-03-12 01:30:00+01:00,-47.669395,-26.54786,-5.268682,7.843183,71.49741,139.27545,141.5763,161.92078,188.17896,179.3902,191.57932,165.78464,81.01632,58.40202,60.6668,64.521416,80.988785,94.117714,103.402016,87.39437,108.85702,75.21084,70.170166,33.975086,26.436764
2024-03-12 01:45:00+01:00,-47.87191,-26.54786,-5.8205247,7.843183,71.82717,139.27545,141.5763,161.92078,188.17896,179.3902,191.57932,165.78464,81.01632,58.40202,60.6668,65.27685,80.988785,94.117714,103.402016,86.724174,104.605354,75.21084,70.170166,33.975086,26.436764
2024-03-12 02:00:00+01:00,29.524231,17.921013,32.71971,14.672272,64.11765,110.69489,125.492935,158.11896,187.28357,182.43695,191.57932,167.28596,82.261856,61.96504,68.26976,73.26333,83.36795,83.58882,93.69376,80.165184,104.29456,80.226204,73.56426,46.076847,57.302444
2024-03-12 02:15:00+01:00,29.524231,17.921013,32.71971,14.672272,64.11765,110.69489,125.492935,158.11896,187.28357,182.43695,191.57932,167.28596,82.261856,61.96504,68.26976,73.26333,83.0518,83.58882,93.69376,80.165184,104.29456,80.226204,73.56426,46.076847,57.302444
2024-03-12 02:30:00+01:00,29.524231,17.921013,32.71971,14.672272,64.11765,110.69489,125.492935,158.11896,187.28357,182.43695,191.57932,167.28596,82.261856,61.96504,68.26976,73.26333,83.36795,83.58882,93.69376,80.165184,104.29456,80.226204,73.56426,46.076847,57.302444
2024-03-12 02:45:00+01:00,29.524231,17.921013,32.71971,14.672272,68.46122,110.69489,125.492935,158.11896,187.28357,182.43695,191.57932,167.28596,82.738205,61.96504,67.03795,73.26333,83.36795,83.58882,93.25758,79.80401,106.84175,78.65323,63.637596,45.58733,57.302444
